category,title,section,content,step_order,image_files
sop,Aeon Roadshow Closing List,,"Prepare 2 cloths: wipe the honey tester with the button cloth, wipe the table, tray, and chiller with the red cloth, then wash the towels. Refer to Soak cloth if needed.",1,
sop,Aeon Roadshow Closing List,Stocktake,"Stock take the booth using the provided link, screenshot the page, and send the screenshot in high definition into the group.",2,
sop,Aeon Roadshow Closing List,,"Refill tester cup, tester spoon, and tissue.",3,
sop,Aeon Roadshow Closing List,,Restock raw honey and honey gifts accordingly. Remember to inform the back end coordinator.,4,
sop,Aeon Roadshow Closing List,,Key in Drinks Tester and Staff drinks in one bill in Shopify POS.,5,
sop,Aeon Roadshow Closing List,Settlement,"Complete settlement. Refer to Credit Card Settlement, Shopify POS app Closing, and Daily Sales Report if needed.",6,
sop,Aeon Roadshow Closing List,Settlement,Take a shot of staff sales report for filling up the daily incentive form purposes and send it to the group.,7,
sop,Aeon Roadshow Closing List,Settlement,"Staple all receipts and put them inside the plastic bag provided on the shelf. Use the stapler shown, refer to How to keep Credit card receipt and settlement slip if needed, close both wood cabins after settlement is done, and send the settlement PDF from email into the group.",8,sop_images/aeon_roadshow_closing/step8_1.jpg
sop,Aeon Roadshow Closing List,Devices,Keep terminal machine and iPad stand into booth storage.,9,
sop,Aeon Roadshow Closing List,Devices,Charge iPad using one power bank and put it into booth storage.,10,sop_images/aeon_roadshow_closing/step10_1.jpg|sop_images/aeon_roadshow_closing/step10_2.jpg
sop,Aeon Roadshow Closing List,Devices,Refer to What to close every night? (Booth).,11,
sop,Aeon Roadshow Closing List,Chiller,Lock chiller. Refer to How to lock the chiller if needed.,12,
sop,Aeon Roadshow Closing List,Display Closing,Arrange display for closing by removing items from the top area.,13,sop_images/aeon_roadshow_closing/step13_1.jpg|sop_images/aeon_roadshow_closing/step13_2.jpg
sop,Aeon Roadshow Closing List,Display Closing,Put wooden stirrer and wooden spoon on top of counter top.,14,sop_images/aeon_roadshow_closing/step14_1.jpg
sop,Aeon Roadshow Closing List,Display Closing,Put two trays and honey description together on top of booth storage.,15,sop_images/aeon_roadshow_closing/step15_1.jpg
sop,Aeon Roadshow Closing List,Display Closing,"Put Jungle House tissue, small rubbish bin, honey description stand, tester cup, and QR code together on top of booth storage.",16,sop_images/aeon_roadshow_closing/step16_1.jpg|sop_images/aeon_roadshow_closing/step16_2.jpg
sop,Aeon Roadshow Closing List,,Throw rubbish into the main rubbish bin. Refer to Kuching Booth Closing dustbin check list if needed.,17,
sop,Aeon Roadshow Closing List,,Keep your own belongings in your shelf and out of sight.,18,
sop,Aeon Roadshow Closing List,,Bee Leader must make sure all keys are returned to booth storage.,19,
sop,Aeon Roadshow Closing List,,Cover fabric. Refer to Cover Fabric if needed.,20,
sop,Aeon Roadshow Closing List,,Take a photo of the covered booth and send it into the group.,21,sop_images/aeon_roadshow_closing/step21_1.jpg
sop,Aeon Roadshow Closing List,,Complete Daily Incentive Declaration.,22,
sop,Aeon Roadshow Closing List,,Clock out using TimeTec.,23,
sop,Aeon Roadshow Opening List,,Clock in using TimeTec.,1,
sop,Aeon Roadshow Opening List,,Take a photo of the covered fabric of the booth and send it to the group.,2,sop_images/aeon_roadshow_opening/step2_1.jpg|sop_images/aeon_roadshow_opening/step2_2.jpg
sop,Aeon Roadshow Opening List,,"Open the covered fabric, fold it, and put it inside the box together with all of the clips.",3,
sop,Aeon Roadshow Opening List,,Put the box back to its place.,4,sop_images/aeon_roadshow_opening/step4_1.jpg
sop,Aeon Roadshow Opening List,,"Set up the QR code and put back the items on the top area, including Premium Wooden Spoon and Wooden Stirrer.",5,
sop,Aeon Roadshow Opening List,,"Take out two charged iPads, terminal machine, iPad stand, and power banks.",6,
sop,Aeon Roadshow Opening List,,Charge the power banks.,7,
sop,Aeon Roadshow Opening List,Terminal Machine,"Switch on the terminal machine, press the return indicator, then press the Maybank logo indicator to start the terminal.",8,
sop,Aeon Roadshow Opening List,Terminal Machine,Charge the terminal machine.,9,
sop,Aeon Roadshow Opening List,,Wash both frontend and backend cloths and place them back respectively.,10,
sop,Aeon Roadshow Opening List,Chiller,"Get the keys from booth storage to unlock the padlock of the chiller, switch on the LED lighting and chiller lights, put the padlock and rope in the cover fabric box, place the keys back in booth storage after use, keep the chiller clean and clear, and arrange honey juices neatly according to date.",11,
sop,Aeon Roadshow Opening List,Devices,Turn on all device power. Refer to What to on every morning and How to switch on the Digital photo frame if needed.,12,
sop,Aeon Roadshow Opening List,Devices,Open Shopify POS app and start the session for the iPad. Make sure the printer is connected to start the operation of the day. Refer to Receipt printer preparation for opening if needed.,13,
sop,Aeon Roadshow Opening List,,"Clean the carpet using vacuum or a small broom, then throw the dust into the rubbish bin.",14,sop_images/aeon_roadshow_opening/step14_1.jpg
sop,Aeon Roadshow Opening List,,"Ensure the table, rack, and product display are dust free by using a duster or vacuum.",15,sop_images/aeon_roadshow_opening/step15_1.jpg
sop,Aeon Roadshow Opening List,,Clean the raw honey tester and make sure it is not sticky.,16,
sop,Aeon Roadshow Opening List,,Make sure the tester bottle bag and recycle bottle bag are nicely folded.,17,sop_images/aeon_roadshow_opening/step17_1.jpg
sop,Aeon Roadshow Opening List,Daily Record Sheet,"Clear the daily record sheet, write the operating date, individual name and shift, staff juice, and honey juice date which is 5 days after the operating day, then make sure the daily record sheet does not fall off and stick it back in place if needed.",18,sop_images/aeon_roadshow_opening/step18_1.jpg
sop,Aeon Roadshow Opening List,,Check the pre-order area. Remove receipts or notes that are irrelevant and check with the person in charge if unsure.,19,sop_images/aeon_roadshow_opening/step19_1.jpg
sop,Aeon Roadshow Opening List,,Keep the honey juice station clean. Make sure the serving tray is dry and clean. Prepare the honey juice tester.,20,
sop,Aeon Roadshow Opening List,,Take a photo of the setup booth.,21,sop_images/aeon_roadshow_opening/step21_1.jpg|sop_images/aeon_roadshow_opening/step21_2.jpg|sop_images/aeon_roadshow_opening/step21_3.jpg|sop_images/aeon_roadshow_opening/step21_4.jpg|sop_images/aeon_roadshow_opening/step21_5.jpg
sop,Backend Opening Checklist,,Use Jungle House WiFi or NFC to clock in. This applies to full timer and registered part timer only.,1,
sop,Backend Opening Checklist,,"Wear apron, mask, and uniform. Must follow the company Dress Code Standard.",2,
sop,Backend Opening Checklist,Stock Check,"Check the shelf behind the booth. See if anything is low in stock and write it down. Minimum amounts: 4-bottle juice box 20, 8-bottle juice box 10, Daily Muji Box 20, Small paper bag 30, Big paper bag 20.",3,
sop,Backend Opening Checklist,Stock Check,"Open the booth cabinet. Check what needs to be refilled and write it down: Daily Honey Series, Premium Honey Series, Infused Honey Series, Wooden stirrer, and Honey Gift Set.",4,
sop,Backend Opening Checklist,,Take the Spring Warehouse key from the booth cabinet at the front top-right corner. It is the key with number 10.,5,
sop,Backend Opening Checklist,Fridge Check,"Check the fridge in front of the booth and record what honey juice is missing. Minimum amounts: Royal White 15 bottles, Yellow Love 15 bottles, Royal Black 5 bottles, Jungle Heart 15 bottles, Citrus Bloom 10 bottles, Jungle Eye 10 bottles, Sweet Tooth 10 bottles, Roast Cube 5 bottles. Make sure to meet these quantities and do not make too many extras.",6,
sop,Backend Opening Checklist,,Take the key and go to Spring Warehouse. Unlock it. Spring Warehouse is just to the right of John Pie.,7,
sop,Closing Spring Warehouse,Spring Warehouse Closing,Measure the NR of each jerry can honey. Just measure the honey in the circle area.,1,sop_images/spring_warehouse_closing/step1_1.jpg
sop,Closing Spring Warehouse,Spring Warehouse Closing,Record it in the stock count link below.,2,
sop,Closing Spring Warehouse,Spring Warehouse Closing,"Things that need to be recorded in the link: drinking water (full jerry can), juice bottle box (full box), and juice bottle cap (full bag).",3,
sop,Closing Spring Warehouse,Spring Warehouse Closing,Wash the jug and stirrer used to make juice and wipe them using kitchen towels or tissue provided.,4,
sop,Closing Spring Warehouse,Spring Warehouse Closing,Close the jug properly with kitchen towel on top and use a rubber band to secure it tightly.,5,sop_images/spring_warehouse_closing/step5_1.jpg
sop,Closing Spring Warehouse,Spring Warehouse Closing,Place the jug beside the drinking water.,6,sop_images/spring_warehouse_closing/step6_1.jpg
sop,Closing Spring Warehouse,Spring Warehouse Closing,Wash the grey water bucket and both cloths.,7,
sop,Closing Spring Warehouse,Spring Warehouse Closing,Soak both cloths with water inside the white basket.,8,sop_images/spring_warehouse_closing/step8_1.jpg
sop,Closing Spring Warehouse,Spring Warehouse Closing,Wipe the grey water bucket using kitchen towels or tissue provided.,9,
sop,Closing Spring Warehouse,Spring Warehouse Closing,Place the weighing scale according to the picture.,10,sop_images/spring_warehouse_closing/step10_1.jpg
sop,Closing Spring Warehouse,Spring Warehouse Closing,Change a new rubbish plastic bag for the dustbin.,11,
sop,Ice Bin Daily Closing Checklist,,Drain the water. Release all accumulated water from the bin into the sink. Make sure it is fully drained to prevent odors or bacteria.,1,
sop,Ice Bin Daily Closing Checklist,Cleaning,"Spot and clean. Check the inside and outside for any stains, sticky spots, or dirt. If you see a spot, wipe it clean immediately.",2,
sop,Ice Bin Daily Closing Checklist,,Park it. Move the ice bin to its designated spot beside the storeroom back door so the vendor can complete the refill easily tomorrow.,3,
sop,JHKC Kiosk Opening,,Clock in (TimeTec),1,
sop,JHKC Kiosk Opening,,Take photos (2 side) before rolling up blinds,2,
sop,JHKC Kiosk Opening,,Unlock blinds and roll them up. Secure the blind cord to the kiosk pole as shown.,3,sop_images/kiosk_opening/step3_1.jpg|sop_images/kiosk_opening/step3_2.jpg
sop,JHKC Kiosk Opening,,"Unlock all cabinet doors from B, C, E, F, K and L.",4,
sop,JHKC Kiosk Opening,,Keep all the locks inside the cabinet.,5,
sop,JHKC Kiosk Opening,,"Switch on display shelves (D, K and L) and ceiling lightings.",6,
sop,JHKC Kiosk Opening,,"Take out two charged iPads, two terminal machines, iPad stand and power banks.",7,
sop,JHKC Kiosk Opening,,Ensure both tablets and terminal machines are charged.,8,
sop,JHKC Kiosk Opening,,Click Shopify app and start the session for both iPads.,9,
sop,JHKC Kiosk Opening,,Check Maybank app is logged in.,10,
